pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Constituency_Type,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Alliance,Terms,Terms_Contested
AEMH104603,7,0,1990,MORE CHANDRA KANT RAMJI,,Maharashtra,OMERGA,GEN,IND,,162,M,14,1,FALSE,FALSE,0.17,0,0,,,,1
AEMH104606,7,0,1990,KADAM ANANTRAO SHAHAJIRAO,,Maharashtra,TULJAPUR,GEN,SHS,,6938,M,3,1,FALSE,FALSE,7.67,5452,6.02,,,,1
AEMH104607,7,0,1990,AMRUTRAO ANNASAHEB DAGDOBA,,Maharashtra,TULJAPUR,GEN,IND,,1486,M,4,1,FALSE,FALSE,1.64,251,0.28,,,,1
AEMH104608,7,0,1990,SURYAKANT GOROBA DANDE,,Maharashtra,TULJAPUR,GEN,IND,,1235,M,5,1,FALSE,FALSE,1.36,881,0.97,,,,1
AEMH104609,7,0,1990,DAGDU REKHA CHAVAN,,Maharashtra,TULJAPUR,GEN,IND,,354,M,6,1,FALSE,FALSE,0.39,21,0.02,,,,1
AEMH104610,7,0,1990,MAINODDIN SHAMSHODDIN INAMDAR,,Maharashtra,TULJAPUR,GEN,IND,,333,M,7,1,FALSE,FALSE,0.37,132,0.15,,,,1
AEMH104611,7,0,1990,SHENDE SHIVAJI BABURAO,,Maharashtra,TULJAPUR,GEN,IND,,201,M,8,1,FALSE,FALSE,0.22,42,0.05,,,,1
AEMH104612,7,0,1990,SIDRAM SHIVAPPA BIRAJDAR,,Maharashtra,TULJAPUR,GEN,IND,,159,M,9,1,FALSE,FALSE,0.18,49,0.05,,,,1
AEMH104613,7,0,1990,SOLUNKE HIRAMAN SANDU,,Maharashtra,TULJAPUR,GEN,DDP,,110,M,10,1,FALSE,FALSE,0.12,7,0.01,,,,1
AEMH104614,7,0,1990,DEVIDAS GANGADHAR JOSHI,,Maharashtra,TULJAPUR,GEN,IND,,103,M,11,1,FALSE,FALSE,0.11,0,0,,,,1
AEMH104616,5,0,1980,TANWADE BABASAHEB SHARANAPPA,,Maharashtra,AKKALKOT,GEN,BJP,,19677,M,2,2,FALSE,FALSE,31.37,1698,2.71,,,,2
AEMH104616,7,0,1990,TANAWADE BABASAHEB SHARANAPPA,,Maharashtra,AKKALKOT,GEN,BJP,BJP,41213,M,2,2,FALSE,FALSE,46.34,37639,42.32,,,,2
AEMH104617,7,0,1990,PATIL PARMOSHWAR YASHWANTARO,,Maharashtra,AKKALKOT,GEN,JD,,3574,M,3,1,FALSE,FALSE,4.02,3076,3.46,,,,1
AEMH104618,7,0,1990,ATNURE MALLIKARJUN DHULAPPA,,Maharashtra,AKKALKOT,GEN,IND,,498,M,4,1,FALSE,FALSE,0.56,310,0.35,,,,1
AEMH104619,7,0,1990,KHALIFA HARUNRASHID DAUDSO,,Maharashtra,AKKALKOT,GEN,IND,,188,M,5,1,FALSE,FALSE,0.21,118,0.13,,,,1
AEMH104620,7,0,1990,PATOLE VISHNU ANYABA,,Maharashtra,AKKALKOT,GEN,IND,,70,M,6,1,FALSE,FALSE,0.08,0,0,,,,1
AEMH104621,7,0,1990,VALASANGKAR A. HAMID MASHAKSO,,Maharashtra,AKKALKOT,GEN,IND,,70,M,7,1,FALSE,FALSE,0.08,1,0,,,,1
